Project,Total run,Failure,Error,Skipped,Failed,Commit
jackson-dataformat-xml,156,0,0,0,,4bce41423eb3b2b78264fad2e62e008420c66dc3
jackson-dataformat-xml,142,0,0,0,,4c6a8b996ac608251fa63286d6c322251910ca63
jackson-dataformat-xml,201,0,0,0,,4cdf2e983cc655302ddf8df94aacd4e5de4d3c24
jackson-dataformat-xml,201,0,0,0,,4d4e09b226206f8f0da4ad1c63255ae8622a00c5
jackson-dataformat-xml,137,0,0,0,,4e793c54ca9de593643b2b6e505a1dd094bce994
jackson-dataformat-xml,134,1,0,0,,4f19b571873a68a6115eb66451ad69e5888bf879
jackson-dataformat-xml,158,0,0,0,,4f2d81b779bb2b3e1af9fd2d6976bedf36dcfabe
jackson-dataformat-xml,199,0,0,0,,4f5fb6b98cdcc20a787fd8367e491f8aa68b53ee
jackson-dataformat-xml,198,1,0,0,['XsiNil354Test.testDoesNotAffectHierarchy'],521b8df14316580d56a422a037a67eadf886a76f
jackson-dataformat-xml,213,0,0,0,,526dbbb085a1c10e2cb2e8b65d64a1e3410aa81d
jackson-dataformat-xml,178,0,0,0,,52a5231bf1201fac2f9d01730f05b5489e35b41f
jackson-dataformat-xml,143,0,0,0,,52acff2f223ef2a5c27e867fac2fd9a044b3a2ce
jackson-dataformat-xml,183,0,0,0,,5432b7a9269d602de9f0b498394e7c8bd08a4fd9
jackson-dataformat-xml,197,0,0,0,,5436c9bb597d77a23875bc97257c69a91f8bc54c
jackson-dataformat-xml,201,0,0,0,,54ac0ab3c2eb6eee298a28430a8b4cc1a5643646
jackson-dataformat-xml,142,0,0,0,,54f1d76fb33fdd30d1b3d27e057cc280723204ea
jackson-dataformat-xml,183,0,0,0,,554ae553c79b439a9ebb1c5b608aa47e9faec91f
jackson-dataformat-xml,132,0,0,0,,55586db4143db15023f83c78814889efec10d972
jackson-dataformat-xml,207,0,0,0,,55fd5f32c31b9180ca9b25a501558b09fba66978
jackson-dataformat-xml,190,0,0,0,,562c8cdd45e6dd00609d7d4afd13ffb4f2d4052c
jackson-dataformat-xml,213,0,0,0,,5637ec7bc20d7918447f55c79628dd89bfd4d451
jackson-dataformat-xml,201,0,0,0,,57dc26fcd91edd7d806c1ee89bc320d6f7e2265b
jackson-dataformat-xml,157,0,0,0,,57e37475b41031863f530545c113b9d2b7fb4bd2
jackson-dataformat-xml,132,0,0,0,,586471a792aa1552da95fa670e4396df900deb2c
jackson-dataformat-xml,178,0,0,0,,5877fb0c0bc9fd2fda5413250d81ac73787ce82c
jackson-dataformat-xml,137,0,0,0,,5a836f41f97ce218d594e0594edd6b980f48450a
jackson-dataformat-xml,190,0,0,0,,5cea699fcc662c9910a72103154810f77270c3a2
jackson-dataformat-xml,140,0,0,0,,5d2c79b2f7d986d33d5efac48948f05cdacc97be
jackson-dataformat-xml,201,0,0,0,,5d525a154092922b1b16abd0b8ac01299aae29b9
jackson-dataformat-xml,197,0,0,0,,5db5ec2c15adf7a8d0dba12a9b54ab627d616683
jackson-dataformat-xml,154,0,0,0,,5dee19ee645f2f4996acfa1f8fa79c3ab6875f84
jackson-dataformat-xml,201,0,0,0,,5e14644fe31d1f8815c64fd956cd588e5d7b91fc
jackson-dataformat-xml,213,0,0,0,,5ef370a118edf6da3f4ffdf718e78cf8bf781de6
jackson-dataformat-xml,213,0,0,0,,5f68d81ee60424fbf4925dd9c95a583fe7b90632
jackson-dataformat-xml,201,0,0,0,,60443a75534163f3d19cd35a346601358cef585e
jackson-dataformat-xml,150,0,0,0,,60e07aa1f275ba8976cfd2ed43038bcb7205c953
jackson-dataformat-xml,137,0,0,0,,61216ba98b63b563c3d017ad9afbd981df391b77
jackson-dataformat-xml,196,0,0,0,,617201ccbb28c77a90a3e1f47b7ab71819879fb5
jackson-dataformat-xml,201,0,0,0,,61784088c0a8045386891fabf65b73fb5a028275
jackson-dataformat-xml,150,0,0,0,,63c121e7bf503a353f714e6cc70c6365a61ec3db
jackson-dataformat-xml,196,0,0,0,,63d7c3e394209bdded0d162014c00a4be5ebfafe
jackson-dataformat-xml,201,0,0,0,,6408a6800ef0cdaeb33d55afd903bf26edff8a95
jackson-dataformat-xml,132,0,0,0,,64796277fea3592abf1e5224410d3dee59261eba
jackson-dataformat-xml,192,0,0,0,,648d5f9c78858d389e10a2a2d930b578e9042d29
jackson-dataformat-xml,178,0,0,0,,654bf663b3b5873366bbec74e8b4594e73545ff0
jackson-dataformat-xml,157,0,0,0,,6554588bb7295fbd2d0c580efd8b9cbc0b501418
jackson-dataformat-xml,158,0,0,0,,656e965a10aaab948b0c2a21a0d9fa177411299f
jackson-dataformat-xml,143,0,0,0,,6586006d31a2e452e8d0ac81cca25cab36056913
jackson-dataformat-xml,213,0,0,0,,65a268e522abc97a9b621756cf07bf4406dd4c3b
jackson-dataformat-xml,132,0,0,0,,672432e1dfab085f4c31ae551f2a82371276d002
jackson-dataformat-xml,192,0,0,0,,6ab836ea6c231d8d7dda9f044e63e225305cab14
jackson-dataformat-xml,201,0,0,0,,6ad860cf4b3f9ba43e7a74a701c48881f305f253
jackson-dataformat-xml,141,0,0,0,,6b017bf29037948e396b76284fdb9a248752a847
jackson-dataformat-xml,212,0,0,0,,6c46d9b992acb4071e479cc450b3b3ee9e9ce5ab
jackson-dataformat-xml,134,0,0,0,,6ddfe411388616c00b86e53d547d9c9f3d4c3479
jackson-dataformat-xml,132,0,0,0,,6e82884f4f4da0cba11035603b98ee8e6424ebf4
jackson-dataformat-xml,143,0,0,0,,6ed0d6dc31635a58d663cfd622167b9f10766b4c
jackson-dataformat-xml,141,0,0,0,,70378e97b6afd668345026364230f98e7f0ebd38
jackson-dataformat-xml,190,0,0,0,,70add5b8fc685fd8d37e470bf9f1e10ff9d0a794
jackson-dataformat-xml,132,0,0,0,,70be8601be0b1fac1d8d7d86109e1856aa9df5a9
jackson-dataformat-xml,128,0,0,0,,70f1a636f7b2fef217a297af5cd3a35717281b6a
jackson-dataformat-xml,143,0,0,0,,711cbf7dba040a6e690eb9ef156b1dc4cce87ae8
jackson-dataformat-xml,132,0,0,0,,7132a799d9fbba9d7a61f38e21a74616cc95f6b2
jackson-dataformat-xml,132,0,0,0,,72dc459fea8acf451259797446bdaaabdfcac1be
jackson-dataformat-xml,133,0,0,0,,730bdade49d7d77cae7de5187ec8ab9088239159
jackson-dataformat-xml,131,0,0,0,,74effc8a2fb89c690460edeed115a60182625814
jackson-dataformat-xml,149,0,0,0,,756e4f7a5cbbc24d4800907f6dcfc4806df3ace2
jackson-dataformat-xml,143,0,0,0,,75c803722a92fcbf8918138a9f04451bcf43a3c7
jackson-dataformat-xml,185,0,0,0,,75e96084c60e4d41c934a2908253a43db52f72e0
jackson-dataformat-xml,132,0,0,0,,764f38b9fa15913c3b683327ebfd79a2a6b32604
jackson-dataformat-xml,134,0,0,0,,76a9637043af607643a256e8b990125cafb1c768
jackson-dataformat-xml,143,0,0,0,,76aaf6f6be7cc400971b001467f131beb97fc800
jackson-dataformat-xml,139,0,0,0,,7749b6f60605d115375eb3461f0fa5be4d8d7334
jackson-dataformat-xml,185,0,0,0,,7750c17a1100a680f024cf154fca24ab95c437ec
jackson-dataformat-xml,158,0,0,0,,77769995f7b298df1fcdb86a0e576187ebc4151f
jackson-dataformat-xml,142,0,0,0,,77a71f2019d46e764e2e7748e86248dff55a9d9c
jackson-dataformat-xml,157,0,0,0,,78537d60eead78ee89c936601850d42ca3360da8
jackson-dataformat-xml,201,0,0,0,,78c284b4886650a6bf660c3ae5778dc8aeb98f90
jackson-dataformat-xml,132,0,0,0,,78e0e742b5c0862a88fadd80be5135d3edddcaa0
jackson-dataformat-xml,140,0,0,0,,79a4b57f2bbe08ce46e6dabb0a8b76f4a787141c
